CBG10375.1	708,987	795,1032
CBG19886.1	6176923,6177291,6177652,6178287,6178505	6177080,6177419,6177984,6178405,6178997
CBG19887.1	6166855,6167240,6167726,6168393,6168753,6170401,6170659	6166901,6167469,6168239,6168439,6169993,6170519,6175746
CBG19888.1	6169049,6169551	6169399,6169627
CBG19889.1	6163983,6164289,6164718	6164034,6164334,6164769
CBG19891.1	6159836,6160688	6160260,6160737
CBG19892.1	6158051,6159062	6158634,6159113
CBG19893.1	6156364,6156943	6156515,6157177
CBG19897.1	6146315,6146712,6147035	6146572,6146769,6147078
CBG19900a.1	6138530,6138787,6138991,6139270,6139369,6139790,6140071,6140425,6140838,6141149	6138572,6138842,6139035,6139312,6139663,6139839,6140117,6140698,6140883,6141190
CBG19900b.1	6139790,6140071,6140425,6140838,6141149	6139839,6140122,6140698,6140883,6141190
CBG19902.1	6129848,6130111,6130320,6130598,6130700,6130868,6131079	6129896,6130174,6130363,6130643,6130747,6130934,6131200
CBG19903.1	6124769,6126303,6126490,6126771,6126872,6127044,6127323,6127615,6127796,6128107	6126088,6126344,6126536,6126815,6126917,6127091,6127370,6127656,6127841,6128153
CBG19904.1	6122953,6123428	6123000,6123538
CBG19906.1	6116068,6116638	6116210,6116760
CBG19907.1	6111506,6111752,6111884,6113198,6113972,6114095	6111652,6111753,6113153,6113717,6114013,6114149
CBG19909.1	6106496,6108497,6108667,6109028,6109153	6108326,6108542,6108773,6109071,6109698
CBG19910.1	6102757,6103075,6103224,6104288	6102910,6103125,6103562,6105020
CBG19911a.1	6074932,6092550,6093800,6094220,6098640,6098940,6100008,6100404,6100602	6092321,6093437,6093927,6098331,6098776,6099845,6100267,6100451,6101469
CBG19911b.1	6074932,6092550,6093800,6094220,6098640,6098940,6100008,6100404,6100602	6092321,6093437,6093927,6098331,6098776,6099845,6100324,6100451,6101396
CBG19911c.1	6074932,6092550,6093800,6094220,6098640,6098940,6100008,6100404,6100602	6092321,6093437,6093927,6098331,6098776,6099845,6100267,6100451,6101396
CBG19915.1	6060928,6061194,6061778,6062728,6063133	6061059,6061649,6062510,6062996,6063185
CBG19916.1	6057892,6058607	6057967,6058651
CBG19917.1	6049699,6050154,6050461,6050760,6051499,6051840,6052268,6054129	6050023,6050206,6050576,6051255,6051728,6052126,6053820,6054950
CBG19920.1	6029525,6029954,6030334,6031982,6032044,6032500,6033091,6034295	6029852,6030010,6031786,6031983,6032284,6032887,6034156,6037497
CBG19921.1	6013271,6013416,6015618,6017090	6013313,6014530,6016645,6017115
CBG19923a.1	6008697,6009039,6010040,6010296	6008745,6009040,6010153,6011052
CBG19923b.1	6008697,6009039,6010061,6010296	6008745,6009040,6010153,6011052
CBG19923c.1	6008697,6009039,6010296	6008745,6009040,6011052
CBG19924.1	6001885,6003641,6003995,6006233,6006442,6007298,6007388,6007489,6007661	6002912,6003848,6005749,6006352,6007191,6007340,6007427,6007534,6007709
CBG19929a.1	5959766,5960838,5961576,5962173,5963707,5964185,5971047	5959914,5960883,5961805,5963531,5964080,5970847,5978031
CBG19929b.1	5959766,5960838,5961576,5962173,5963707,5964185,5971047,5978157	5959914,5960883,5961805,5963531,5964080,5970847,5978031,5995488
CBG19930.1	5956724,5956892	5956786,5956947
CBG19931.1	5952820,5953510	5952864,5953592
CBG19932.1	5946913,5947788,5947897	5946958,5947832,5947947
CBG19933.1	5945445	5945492
CBG19935.1	5943467,5943885	5943513,5943928
CBG19941.1	5926977,5927654,5927893,5928101,5928570,5928925,5929461,5929817,5930423,5930576,5930737,5930906,5933212,5933546,5934119,5934305,5934521	5927466,5927775,5927939,5928428,5928674,5929291,5929521,5930344,5930469,5930619,5930782,5932890,5933470,5934026,5934230,5934403,5938343
CBG19946a.1	5887533,5888260,5888406,5889616,5889851,5890071	5888184,5888312,5889378,5889727,5889913,5890689
CBG19946b.1	5887533,5888260,5888406,5889616,5889863,5890071	5888184,5888312,5889378,5889727,5889913,5890689
CBG19947.1	5870539,5870689,5872309,5872513,5876210,5876524,5876754,5876969	5870588,5872225,5872355,5876068,5876460,5876570,5876891,5877060
CBG19948.1	5883842,5884186,5884305	5884068,5884233,5884353
CBG19949.1	5880121,5880871	5880565,5880918
CBG19950.1	5862145,5862291	5862193,5862438
CBG19951.1	5858994,5859120,5859364,5860258	5859042,5859170,5859409,5860303
CBG19952.1	5857781,5858075	5857855,5858120
CBG19953.1	5852718,5853400	5852872,5853533
CBG19954.1	5850543	5850597
CBG19955.1	5844697,5845149,5845510	5844821,5845367,5846881
CBG19956.1	5837384,5837483,5837618,5837809,5838111,5839758,5840737,5842006,5842548,5843216	5837428,5837536,5837664,5837858,5839046,5839808,5841219,5842499,5842653,5844148
CBG19957.1	5833713,5834268,5835280	5833759,5834872,5835974
CBG19958.1	5829408,5829593,5829781,5830998,5831464,5831657	5829460,5829638,5830167,5831349,5831514,5832413
CBG19959a.1	5820417,5820893,5822373,5823004,5827004,5827159,5828231,5828547,5828682,5828883	5820622,5821820,5822778,5826543,5827053,5827780,5828277,5828595,5828683,5828934
CBG19959b.1	5821643,5822373,5823004,5827004,5827159,5828231,5828547,5828682,5828883	5821820,5822778,5826543,5827053,5827780,5828277,5828595,5828683,5828934
CBG19960.1	5824496,5824729,5825271	5824548,5824946,5825507
CBG19961.1	5818630,5819363,5819759,5820417,5820893,5822373,5823004,5827004,5827159,5828231,5828547,5828883	5818681,5819405,5819803,5820622,5821820,5822778,5826543,5827053,5827780,5828277,5828595,5828934
CBG19963a.1	5812804,5813211,5813351,5813448,5816106	5813107,5813270,5813395,5816043,5816151
CBG19963b.1	5812804,5813211,5813351,5813448,5816106	5813115,5813270,5813395,5816043,5816151
CBG19964.1	5807778,5808087,5808491,5808845,5809380,5809573,5810933	5807853,5808213,5808603,5809072,5809422,5810749,5811217
CBG19965.1	5804396,5806076,5806243,5806564,5806785	5805549,5806124,5806290,5806642,5806883
CBG19966.1	5793070,5794490,5794641,5795135,5795650,5795787,5795915,5796074,5796367	5794367,5794534,5794990,5795331,5795697,5795833,5795962,5796212,5798226
CBG19968.1	5783696,5784003,5784150,5785111,5785485,5785621,5785805,5785960,5786538	5783880,5784043,5784966,5785166,5785531,5785723,5785848,5786383,5786637
CBG19969.1	5774528,5775367,5776209,5776784,5777437,5778095,5780960,5781298	5775230,5776040,5776659,5777314,5777713,5780881,5781140,5782076
CBG19970.1	5768622	5770227
CBG19972.1	5748356	5752224
CBG19973.1	5732479,5733823,5734037,5734438,5734618,5734759,5735245,5735421,5735656	5733662,5733915,5734251,5734484,5734652,5735149,5735289,5735456,5737570
CBG19977.1	5703867,5704052,5705097,5705943,5706245,5706413,5706881	5703928,5704425,5705307,5705994,5706293,5706694,5706954
CBG19978.1	5700895,5702007	5701196,5702823
CBG19979.1	5698086	5698143
CBG19980.1	5696564,5697044	5696821,5697095
CBG19981a.1	5680213,5684978,5686293,5692856	5684786,5686234,5692540,5695691
CBG19981b.1	5680213,5684978,5686293,5689416	5684786,5686234,5689100,5695691
CBG19985.1	5660883,5661370,5663328	5660941,5663192,5663332
CBG19989.1	5643729,5643919,5644212,5644363	5643811,5644020,5644304,5645541
CBG19989.2	5643919,5644212,5644363	5644020,5644304,5645541
CBG19991a.1	5632483,5636268,5637024,5639978,5641350,5641803,5642740	5636178,5636920,5639713,5641169,5641610,5642655,5643204
CBG19991b.1	5632483,5636268,5637024,5639978,5641350,5641803,5642740	5636178,5636920,5639713,5641169,5641565,5642655,5643204
CBG19995a.1	5596263,5603859,5617674,5618470,5619071,5619564,5620038	5603720,5617541,5618099,5618867,5619343,5619686,5620425
CBG19995b.1	5616564,5617674,5618470,5619071,5619564,5620038	5617541,5618099,5618867,5619343,5619686,5620425
CBG19995c.1	5616564,5617674,5618470,5619071,5619564	5617541,5618099,5618867,5619343,5619686
CBG19995d.1	5596263,5603859,5617674,5618470,5619071,5619564	5603720,5617541,5618099,5618867,5619343,5619686
CBG20000.1	5585195,5585521,5587585	5585365,5587049,5589168
CBG20001.1	5584108,5584542	5584151,5584590
CBG20003.1	5565520,5570363,5571689,5572169,5572967,5573711,5574373	5570122,5570458,5571779,5572805,5573384,5573904,5575342
CBG20005.1	5559030,5559198,5559394	5559071,5559240,5559440
CBG20006.1	5557699	5557949
CBG20009.1	5546651,5546989,5547954,5548251	5546790,5547727,5548143,5548298
CBG20010.1	5542942,5543051,5543188	5542991,5543096,5543232
CBG20011.1	5540225,5541224,5541527	5540275,5541268,5541578
CBG20012.1	5538923	5538967
CBG20013.1	5534922,5535204,5535498,5535650,5536434,5537119,5537319,5537928	5534966,5535333,5535541,5536211,5536534,5537162,5537752,5537968
CBG20014.1	5530413,5531860,5531999,5532176,5532341,5532461	5531767,5531908,5532045,5532286,5532388,5532521
CBG20015.1	5529604	5529651
CBG20017.1	5521041,5522170	5521921,5523307
CBG20018.1	5518356	5519212
CBG20020.1	5509210,5509358	5509258,5509496
CBG20021.1	5505787,5506297,5507035	5505910,5506853,5507077
CBG20025.1	5495251,5495530,5495889,5496384,5496615	5495393,5495777,5496244,5496433,5496939
CBG20027a.1	5489323,5489695,5491537,5491965	5489567,5491401,5491826,5492063
CBG20027b.1	5489323,5489594,5489695,5491537,5491965	5489567,5489638,5491401,5491826,5492063
CBG20030a.1	5465148,5465575,5467291,5467993,5468282,5468436,5468878,5469100,5469218,5469512,5470871,5471357,5471689	5465335,5467163,5467667,5468200,5468331,5468736,5468989,5469141,5469370,5470717,5471202,5471452,5473182
CBG20030b.1	5465148,5465575,5467291,5467993,5468282,5468436,5468878,5469100,5469218,5470384,5470871,5471357,5471689	5465335,5467163,5467667,5468200,5468331,5468736,5468989,5469141,5470125,5470717,5471202,5471452,5473182
CBG20030c.1	5466154,5467102,5467291,5467993,5468282,5468436,5468878,5469100,5469218,5469512,5470871,5471357,5471689	5466895,5467163,5467667,5468200,5468331,5468736,5468989,5469141,5469370,5470717,5471202,5471452,5473182
CBG20030d.1	5466154,5467102,5467291,5467993,5468282,5468436,5468878,5469100,5469218,5470384,5470871,5471357,5471689	5466895,5467163,5467667,5468200,5468331,5468736,5468989,5469141,5470125,5470717,5471202,5471452,5473182
CBG20031a.1	5457843,5457966,5458870,5459311,5459614,5459798,5460288,5460539,5461375	5457892,5458539,5459079,5459413,5459670,5460183,5460393,5461220,5461439
CBG20031b.1	5457843,5457966,5458870,5459311,5459614,5459798,5460288,5460539,5461375	5457892,5458539,5459079,5459413,5459670,5460183,5460393,5461220,5464752
CBG20033.1	5445607,5449435,5450762,5450935,5452134,5452307,5452473,5452664,5454495,5455754,5456019,5456986,5457349	5449251,5450612,5450808,5451875,5452176,5452355,5452555,5454308,5455579,5455922,5456683,5457183,5457394
CBG20034.1	5453868	5453992
CBG20035.1	5447530,5447639,5447870,5448026,5448368,5448601	5447580,5447682,5447913,5448065,5448447,5448644
CBG20036.1	5442378,5442487,5442718,5442874,5443216	5442428,5442530,5442761,5442913,5443295
CBG20037.1	5408426,5416371,5428243,5428544,5429446,5429623,5432195	5416283,5428099,5428368,5429107,5429496,5432052,5432321
CBG20044.1	5392875,5393523,5394288	5393255,5393567,5394334
CBG20048.1	5379889,5380040,5380261	5379934,5380087,5380305
CBG20049.1	5377465,5377993,5378194,5378348,5378560,5378711,5379106	5377845,5378037,5378237,5378397,5378604,5378902,5380396
CBG20050.1	5372911,5373736,5374000,5374204,5375767,5376061,5376225	5373429,5373873,5374049,5375375,5375888,5376131,5376273
CBG20056.1	5344230,5345863,5347588,5347985,5348274	5345733,5347426,5347639,5348165,5348419
CBG20059.1	5334533,5334936,5337227,5337552,5337706,5338547	5334786,5336654,5337351,5337595,5337910,5338590
CBG20061.1	5331047,5331160	5331088,5331200
CBG20062.1	5329742,5329861	5329789,5329898
CBG20066.1	5311349,5315514,5316383,5317049,5318349,5320227,5320417,5320599	5315435,5316205,5316607,5317112,5318834,5320274,5320467,5320947
CBG20068.1	5299667,5301437,5301584,5302333,5304160,5304649,5305957,5306360,5306520,5306844,5307040	5301371,5301483,5302217,5304034,5304209,5305804,5306263,5306445,5306575,5306888,5307853
CBG20070.1	5295119,5296717	5296615,5296760
CBG20071.1	5289861,5290184,5292014,5292164,5292290,5292478,5292622,5293165,5293489,5293696,5293844	5290069,5291896,5292061,5292208,5292390,5292522,5293008,5293386,5293587,5293777,5294247
CBG20072.1	5285626,5285833,5286364,5286637,5287225	5285676,5286159,5286452,5287057,5287567
CBG20073.1	5282472,5282843,5283112	5282638,5282927,5283794
CBG20076.1	5276552	5277204
CBG20077.1	5274690,5275345,5275608	5275252,5275470,5275653
CBG20078.1	5273641,5273797	5273687,5274206
CBG20079.1	5250374,5250863	5250417,5252116
CBG20080.1	5267207	5267301
CBG20081.1	5261985,5262181,5262557,5262616,5263597,5263810	5262024,5262418,5262558,5263403,5263642,5263953
CBG20082.1	5253719,5253931,5255629,5255840	5253774,5255183,5255672,5256809
CBG20083.1	5245674,5246021,5246438,5246581,5247232	5245864,5246067,5246486,5247158,5247278
CBG20084a.1	5241447,5241649,5242123,5242561,5242845	5241492,5241734,5242466,5242771,5242891
CBG20084b.1	5241649,5242123,5242561,5242845	5241734,5242466,5242771,5242891
CBG20085.1	5237736,5238772,5239417,5239604,5239746,5239906	5238296,5239138,5239508,5239652,5239788,5240929
CBG20086.1	5232753,5233104,5234523,5234915	5232947,5234199,5234608,5235022
CBG20087.1	5222157,5223099,5225717,5225892,5225962,5226342	5222900,5225559,5225818,5225893,5226106,5228082
CBG20088.1	5220375,5220877,5221012,5221134	5220425,5220920,5221064,5221359
CBG20089a.1	5213909,5214951,5215505,5217997	5214861,5215435,5217902,5219648
CBG20089b.1	5213716,5213909,5214951,5215505,5217997	5213763,5214861,5215435,5217902,5219648
CBG20097.1	5187398,5187554,5189002,5189160,5189386,5189845	5187444,5188783,5189050,5189273,5189725,5189894
CBG20098.1	5185069,5185195,5185315,5185507,5185685,5185990,5186162,5186313,5186502	5185118,5185243,5185356,5185571,5185736,5186032,5186210,5186369,5186646
CBG20099.1	5184113,5184384	5184157,5184647
CBG20100.1	5179409,5179982	5179758,5180377
CBG20101.1	5174564,5174807,5176039	5174681,5175887,5176094
CBG20102.1	5157756,5159380,5159824,5160125	5158510,5159741,5160011,5160172
CBG20103.1	5160959,5161102	5161015,5161227
CBG20106a.1	5149387,5150660,5151242	5150418,5151096,5152251
CBG20106b.1	5149387,5149601,5150678	5149573,5150418,5151096
CBG20107.1	5146072,5146558,5146653,5147116	5146113,5146559,5146699,5147158
CBG20108.1	5135273,5136055,5136383,5136491,5136614,5136831	5135933,5136101,5136430,5136540,5136723,5140664
CBG20109.1	5130315,5131216	5130870,5133584
CBG20110.1	5127046,5127171,5127925	5127097,5127814,5128296
CBG20111.1	5125074,5125307	5125120,5126224
CBG20114.1	5114441,5114902,5115215	5114550,5115075,5116004
CBG21041.1	15373609,15375045,15375235,15376284,15378172	15374926,15375091,15376051,15378114,15378172
CBG21042.1	15357946,15358074,15358352,15360312,15361554	15357990,15358235,15359642,15361319,15363030
CBG21043a.1	15347933,15348933,15350540,15351585,15352641,15353024,15354004	15348801,15350258,15351271,15352469,15352886,15353786,15355222
CBG21043b.1	15347933,15348933,15350540,15351585,15352641,15353024,15354004	15348801,15350252,15351271,15352469,15352886,15353786,15355222
CBG21046.1	15339311,15339788,15341648,15343376,15343969	15339607,15341345,15343240,15343785,15345093
CBG21047.1	15335998,15336135,15336401,15337524	15336050,15336278,15337392,15338052
CBG21048.1	15331944	15333092
CBG21050.1	15322412,15323195,15323927,15324973,15326374,15327545	15323069,15323771,15324743,15325849,15327438,15328660
CBG21051.1	15302254,15303090,15303969,15305474,15306820	15302903,15303837,15305295,15306437,15307371
CBG21052.1	15292986,15296547,15296740,15296967,15298062,15299015,15299165,15300323,15300614,15300789,15301411	15296451,15296601,15296793,15297859,15298948,15299059,15300121,15300493,15300655,15301298,15301765
CBG21053.1	15289471,15290413,15290591,15291681	15290314,15290519,15291355,15296451
CBG21054.1	15279490,15280286,15280513	15280165,15280331,15281464
CBG21055.1	15277266,15277644	15277571,15277701
CBG21056.1	15273874,15274081,15274274	15273916,15274128,15274320
CBG21060.1	15253583,15253831,15254581	15253652,15253926,15254629
CBG21061.1	15233594,15234106,15234815,15236604,15236864,15238053	15233909,15234622,15236403,15236683,15237875,15238621
CBG21063.1	15226558,15226816,15228847	15226723,15227819,15228977
CBG21063.2	15226558,15226816	15226723,15227819
CBG21069.1	15188937,15190265,15190429,15192216,15194577,15195846	15190120,15190312,15191489,15193902,15195733,15196159
CBG21071.1	15183384,15184846,15185620	15184705,15185429,15185775
CBG21073.1	15176942	15177048
CBG21075.1	15171995,15172355,15172764,15172986	15172063,15172523,15172816,15173305
CBG21077.1	15169604	15169657
CBG21079.1	15155516,15155904,15156993,15157271,15158108,15158301,15158537	15155828,15156824,15157039,15157792,15158217,15158421,15159128
CBG21080.1	15151847,15153056,15153969,15154073,15154092	15152766,15153736,15154017,15154074,15154753
CBG21082.1	15143762,15146604,15147045,15149578,15149745,15149887	15146393,15146732,15149558,15149626,15149788,15149931
CBG21083.1	15137305,15137568,15140939,15141211	15137426,15140763,15141099,15142255
CBG21085.1	15132339,15134878,15135051,15135243	15134769,15134924,15135126,15136502
CBG21251.1	13504237,13504502,13505402,13505588	13504289,13505171,13505477,13506376
CBG21256.1	13532928,13533633,13534283,13534475,13534685	13533163,13534176,13534333,13534522,13534796
CBG21257.1	13535175,13535564	13535446,13535605
CBG21258.1	13536131,13536494	13536356,13536687
CBG21259.1	13537969,13538082,13538588,13539014	13538017,13538336,13538675,13539896
CBG21261a.1	13543390,13543563,13543607	13543453,13543603,13543608
CBG21261b.1	13543172,13543390,13543563	13543225,13543453,13543603
CBG21261b.2	13543172,13543318,13543390,13543475,13543563	13543225,13543356,13543405,13543551,13543603
CBG21261b.3	13543172	13543225
CBG21263.1	13549001,13549264,13549845,13551071,13551612,13552183	13549046,13549448,13550944,13551306,13552067,13552350
CBG21264.1	13554860,13554963,13555280	13554904,13555165,13555850
CBG21266.1	13565970,13566625,13568431,13568601,13568897,13570761,13572340,13573197,13573325,13573588,13573738,13574329,13574486,13574716,13575059	13566429,13568297,13568481,13568644,13570391,13571179,13573100,13573243,13573506,13573632,13574193,13574380,13574601,13574971,13576281
CBG21268.1	13591341	13592202
CBG21269.1	13592841,13593582,13594363	13593483,13594152,13595086
CBG21270.1	13596143,13596365,13596705	13596193,13596536,13596753
CBG21271.1	13597917,13598045,13599722,13600082,13600412	13597971,13599622,13599768,13600134,13600413
CBG21272.1	13605565,13606761,13607102	13606700,13606990,13607272
CBG21275.1	13619659,13619777,13619889,13620573,13620831,13621073,13623937,13624681,13625416,13626044,13634296,13634879,13642863,13643927	13619700,13619823,13620329,13620688,13620958,13623385,13624482,13625295,13625575,13634197,13634638,13642759,13643892,13643927
CBG21276a.1	13629099,13629905	13629695,13630370
CBG21276b.1	13628592,13629099,13629905	13628927,13629695,13630370
CBG21277.1	13631987,13632160,13632333	13632039,13632209,13632380
CBG21281.1	13227003,13228218,13228584,13229523,13229677,13229786,13229967,13230689,13230910,13232077,13232283	13228126,13228263,13229435,13229564,13229724,13229835,13230540,13230766,13231952,13232122,13232879
CBG21284.1	13248559,13248790,13248896	13248605,13248835,13248946
CBG21286.1	13251280,13252328,13252526,13253918	13251901,13252378,13253787,13253965
CBG21287.1	13254394	13254917
CBG21288.1	13256363	13256428
CBG21290a.1	13259810,13265866,13269474,13269885,13271041,13272737	13265773,13269366,13269745,13270348,13272622,13272816
CBG21290b.1	13259810,13265866,13269474,13269885,13271041,13272769	13265773,13269366,13269745,13270348,13272622,13272816
CBG21290b.2	13259810,13265866,13269474,13269885,13271041	13265773,13269366,13269745,13270348,13272622
CBG21291.1	13276422,13278748,13279139,13280456,13285311,13285508,13285827	13278423,13278959,13280267,13285185,13285377,13285647,13286159
CBG21293.1	13301427,13302034,13304344	13301681,13304277,13305493
CBG21294.1	13310712,13310982,13311369	13310759,13311026,13311415
CBG21295.1	13313382,13313677,13314053,13314170,13314403,13314779,13314975,13315282,13315686,13315786,13318286,13318378	13313426,13313729,13314099,13314213,13314456,13314823,13315017,13315323,13315733,13315787,13318332,13318435
CBG21296.1	13326576,13327450	13326632,13327581
CBG21311.1	13370197,13371239	13370243,13371587
CBG21311.2	13370197	13370243
CBG21311.3	13370197,13370435,13371239	13370243,13370993,13371587
CBG21311.4	13370197,13370435	13370243,13370993
CBG21312.1	13374253,13376276,13376479	13375824,13376320,13376524
CBG21313.1	13377491,13377825	13377553,13378969
CBG21315a.1	13384578,13385057,13388049,13388337,13411323	13384941,13387937,13388189,13411134,13412435
CBG21315b.1	13384578,13384993,13384999,13385057,13388049,13388337,13398549	13384941,13384994,13384999,13387937,13388189,13398360,13412435
CBG21316.1	13414474,13416414,13417007,13418529	13416222,13416929,13418381,13419523
CBG21317.1	13421143,13421313,13423778,13426263,13427803,13428262,13429746,13431861,13432677,13434059,13434223,13434398,13434800,13436026,13437073,13437708,13437792,13438566,13439470,13440098,13440929,13442715,13443780,13444067,13444213,13444637,13445553,13445771	13421194,13423568,13426079,13427703,13427870,13428801,13431554,13432485,13433847,13434106,13434273,13434441,13435620,13436074,13437451,13437709,13437852,13439016,13439531,13440702,13442148,13443680,13443825,13444110,13444468,13445432,13445554,13446769
CBG21318.1	13447875,13448240,13448453,13448806,13449582	13448136,13448295,13448454,13449287,13449629
CBG21319.1	13450232	13451033
CBG21320.1	13451566,13452397,13453183,13453949,13454763	13451649,13452669,13453453,13454627,13455559
CBG21322.1	13456031,13457953	13457397,13457998
CBG21323.1	13460237,13461997,13462878,13463352,13464316,13464437	13461917,13462044,13462922,13463878,13464361,13464486
CBG21324.1	13465273,13466444	13465321,13466492
CBG21325.1	13467324,13467476	13467382,13467524
CBG21326.1	13467989	13468041
CBG21327.1	13468415,13469494,13470588,13470950,13472003	13469119,13470403,13470635,13471000,13473381
CBG21335.1	13493815,13494649,13495028	13494437,13494822,13495445
CBG21498.1	1769827,1769990,1770131,1770283,1770900,1771438,1771951,1773443,1774058	1769872,1770038,1770199,1770616,1771293,1771783,1773327,1773670,1774250
CBG21499.1	1774748,1775844,1776224,1779106,1779853,1780222	1775517,1775895,1778843,1779670,1780133,1781431
CBG21501.1	1786723,1787163,1787928,1788748	1787060,1787837,1788229,1789432
CBG21507.1	1801154,1801398	1801208,1801446
CBG21508.1	1802612,1803520,1804168,1804787	1802973,1803822,1804220,1804908
CBG21508.2	1802613,1803520,1804168,1804787	1802974,1803822,1804220,1804908
CBG21509.1	1809312,1809503,1809653,1810110,1810350,1810845	1809355,1809549,1809993,1810152,1810660,1811370
CBG21510.1	1811815,1811966,1812721,1812924	1811860,1812603,1812764,1813534
CBG21511.1	1814409,1815201	1814812,1816049
CBG21512.1	1817256,1817714,1817911	1817479,1817759,1818025
CBG21513a.1	1818571,1818722,1821636,1825281	1818616,1821514,1825119,1825572
CBG21513b.1	1821636,1825281	1825119,1825572
CBG21516a.1	1826479,1827892,1828716	1826942,1828461,1828761
CBG21516b.1	1826479,1828020	1826942,1829472
CBG21517.1	1829420,1829932,1830064,1830368,1832041,1832707	1829782,1829977,1830118,1831248,1832580,1832976
CBG21518a.1	1840937,1841070,1841532	1840988,1841428,1844101
CBG21518b.1	1840937,1841070,1841551	1840988,1841428,1844101
CBG21520.1	1848760,1849170,1849391	1849105,1849213,1849456
CBG21521.1	1849736,1849859,1850107,1850241,1850374	1849788,1849902,1850150,1850289,1850420
CBG21522.1	1852489,1853433,1854335,1854657	1852822,1854192,1854502,1854803
CBG21523.1	1855462,1858583	1858503,1858631
CBG21524.1	1859311,1859951	1859844,1860077
CBG21525.1	1862402	1863235
CBG21526.1	1863728,1863874,1864108,1864310	1863777,1863927,1864151,1864564
CBG21527.1	1865167,1865712,1866712	1865464,1866304,1866959
CBG21527.2	1865167,1865712,1866693	1865464,1866304,1866962
CBG21529a.1	1867741,1868128,1868710,1869352,1870194	1868005,1868370,1869265,1870062,1870367
CBG21529a.2	1867741,1868128,1868710,1869352,1870194,1870716	1868005,1868370,1869265,1870062,1870367,1872767
CBG21529b.1	1867741,1868128,1868710,1869352,1870194,1872839,1872942,1876328	1868005,1868370,1869265,1870062,1872767,1872840,1876192,1876657
CBG21529c.1	1867741,1868128,1868710,1869352,1870194,1872839,1872942,1874395,1874818,1876328	1868005,1868370,1869265,1870062,1872767,1872840,1874273,1874446,1876192,1876657
CBG21533.1	1893237,1893618,1894201,1895191,1896738,1896862,1897125,1897359,1897496	1893477,1893963,1894987,1896565,1896782,1896920,1897271,1897409,1897625
CBG21535.1	1900136,1900503,1901368,1901517,1903436	1900279,1901147,1901411,1902959,1905023
CBG21537.1	1907861,1908380,1908726	1908139,1908536,1908943
CBG21539.1	1911075,1911313	1911123,1911362
CBG21540.1	1912430,1913025,1913763,1914442	1912867,1913459,1914361,1914972
CBG21542.1	1925139,1925849,1927357,1928516,1929247,1930018,1930478	1925567,1926857,1928371,1928982,1929620,1930284,1932077
CBG21543a.1	1935967,1936097,1936302,1937192	1936018,1936235,1937002,1938259
CBG21543b.1	1935967,1936097,1936302,1937192	1936006,1936235,1937002,1938259
CBG21547a.1	1947991,1948297,1949196,1950529,1951157,1954073,1954370,1955476,1955890	1948104,1948825,1950369,1950909,1953984,1954116,1954842,1955658,1958662
CBG21547b.1	1942981,1947991,1948297,1949196,1950529,1951157,1954073,1954370,1955476,1955890	1947896,1948104,1948825,1950369,1950909,1953984,1954116,1954842,1955658,1958662
CBG21549.1	1959428,1960410,1960822	1960265,1960702,1960867
CBG21552.1	1966832,1967293,1967522,1968469,1971042,1971307	1967209,1967343,1968391,1970911,1971086,1974962
CBG21555.1	2001929	2001973
CBG21557.1	2004548	2004588
CBG21559.1	2007604,2007889	2007690,2008159
CBG21562.1	2012403	2012570
CBG21564.1	2018729,2019231,2019600,2019905	2018908,2019456,2019834,2019956
CBG21566.1	2023653,2024345,2025746	2023701,2024970,2026118
CBG21567.1	2028275,2028683	2028466,2029080
CBG21569.1	2036859,2037069,2037498,2038195,2038433,2039672,2041230	2036903,2037215,2037982,2038240,2039071,2041065,2041363
CBG21570.1	2039672,2041230	2041065,2041363
CBG21571.1	2051436	2051653
CBG21572.1	2061400,2061698	2061426,2061738
CBG21574a.1	2062841,2063975,2065556,2066491,2067527,2068816,2072439,2073938,2075046,2075699,2076491,2077562	2063869,2065316,2066262,2067419,2068737,2072322,2073676,2074948,2075300,2076087,2077355,2078226
CBG21574b.1	2062841,2063671,2063975,2065556,2066491,2067527,2068816,2072439,2073938,2075046,2075253,2075699,2076491,2077562	2063646,2063869,2065316,2066262,2067419,2068737,2072322,2073676,2074948,2075162,2075300,2076087,2077355,2078226
CBG21574c.1	2062841,2063671,2063975,2065556,2066491,2067527,2068816,2072439,2073938,2075046,2075699,2076491,2077562,2078878	2063646,2063869,2065316,2066262,2067419,2068737,2072322,2073676,2074948,2075300,2076087,2077355,2078743,2079130
CBG21575.1	2080543,2080856,2081393,2081759,2082114,2082292	2080766,2081188,2081670,2082050,2082161,2084295
CBG21577.1	2089729,2090085,2090451,2091570,2092554,2093625	2089994,2090312,2091242,2091978,2093420,2093837
CBG21578.1	2094882,2095190,2095646,2095869,2096074,2096976	2095040,2095524,2095804,2095985,2096752,2098142
CBG21580.1	2108812,2110097,2110397,2111065,2114065,2116245	2109900,2110209,2110861,2113343,2116041,2117291
CBG21582.1	2119691,2120026,2120737	2119914,2120559,2121266
CBG21583.1	2122773,2123397	2122816,2123582
CBG21584.1	2125154,2125633,2126755,2127064	2125354,2126339,2126757,2127498
CBG21586.1	2133589,2133986,2134903	2133630,2134112,2134948
CBG21587.1	2136358	2136490
CBG21590.1	2142024,2142387,2143655	2142070,2142873,2143698
CBG21591a.1	2144451	2144587
CBG21591b.1	2144451,2145068,2145274	2144587,2145069,2145274
